Photo_id,Filename,Datetime,Country,City,Place Type,With Group,Subject Type,People Visible,Emotion,Value
P0001,P0001.JPG,2023-06-21 18:38:51,Korea,Daegu,Shopping,Friend,People,Friend,Anticipation,5
P0002,P0002.JPG,2023-06-22 11:11:08,Korea,Busan,Transit,Friend,People,Friend,Trust,4
P0003,P0003.jpg,2023-06-22 15:55:50,Korea,Busan,Nature,Friend,People,Friend,Joy,5
P0004,P0004.jpg,2023-06-22 19:01:18,Korea,Busan,Nature,Friend,Landscape,Unknown,Joy,3
P0005,P0005.JPG,2023-06-23 0:00:27,Korea,Busan,Food,Friend,Food,Friend,Joy,5
P0006,P0006.JPG,2023-06-23 12:58:24,Korea,Busan,Culture,Friend,People,Friend,Joy,2
P0007,P0007.jpg,2023-06-23 20:14:22,Korea,Busan,Transit,Friend,People,Friend,Trust,5
P0008,P0008.JPG,2023-06-24 15:32:37,Korea,Daegu,Culture,Friend,People,Friend,Anticipation,3
P0009,P0009.JPG,2023-06-24 19:09:12,Korea,Daegu,Culture,Friend,Object,Friend,Surprise,2
P0010,P0010.jpg,2023-06-27 19:13:49,Korea,Seoul,Culture,Friend,People,Friend,Trust,4
P0011,P0011.JPG,2023-06-27 22:56:32,Korea,Seoul,Food,Friend,People,Friend,Anticipation,4
P0012,P0012.JPG,2023-07-04 16:03:05,Korea,Daegu,Culture,Friend,People,Friend,Anticipation,3
P0013,P0013.jpg,2023-07-04 18:33:48,Korea,Daegu,Culture,Friend,Object,Friend,Trust,5
P0014,P0014.JPG,2023-07-05 20:00:22,Korea,Daegu,Culture,Friend,People,Friend,Joy,4
P0015,P0015.JPG,2023-07-06 23:02:30,Korea,Daegu,Food,Friend,Object,Unknown,Surprise,2
P0016,P0016.JPG,2023-07-09 22:35:25,Korea,Seoul,Food,Friend,Self,Alone,Sadness,-5
P0017,P0017.JPG,2023-07-13 20:30:28,Korea,Daegu,Culture,Friend,People,Friend,Joy,3
P0018,P0018.JPG,2023-07-14 23:31:56,Korea,Daegu,Home,Friend,Animal,None,Joy,1
P0019,P0019.jpg,2023-07-20 21:18:44,Korea,Daegu,Street,Friend,Object,None,Anger,-2
P0020,P0020.JPG,2023-07-22 18:10:35,Korea,Daegu,Culture,Friend,People,Friend,Joy,5
P0021,P0021.JPG,2023-07-22 22:04:08,Korea,Daegu,Culture,Friend,Architecture,Crowd,Joy,5
P0022,P0022.JPG,2023-07-25 17:42:27,Korea,Daegu,Transit,Alone,Architecture,None,Sadness,-4
P0023,P0023.JPG,2023-07-26 21:23:28,Korea,Daegu,Culture,Friend,People,Friend,Trust,2
P0024,P0024.JPG,2023-07-29 19:50:08,Korea,Daegu,Food,Friend,Food,None,Sadness,-1
P0025,P0025.JPG,2023-07-31 13:15:59,Japan,Sapporo,Transit,Family,Text,None,Anticipation,3
P0026,P0026.JPG,2023-07-31 15:03:25,Japan,Sapporo,Shopping,Family,Food,None,Anticipation,2
P0027,P0027.JPG,2023-07-31 17:47:59,Japan,Sapporo,Street,Family,People,Family,Trust,3
P0028,P0028.JPG,2023-07-31 18:09:42,Japan,Sapporo,Food,Family,Food,Family,Joy,4
P0029,P0029.JPG,2023-07-31 18:20:14,Japan,Sapporo,Food,Family,People,Family,Joy,3
P0030,P0030.JPG,2023-07-31 18:23:16,Japan,Sapporo,Street,Family,Architecture,Crowd,Joy,3
P0031,P0031.JPG,2023-07-31 18:36:01,Japan,Sapporo,Food,Family,People,Friend,Trust,4
P0032,P0032.JPG,2023-08-01 10:01:52,Japan,Sapporo,Nature,Family,Landscape,None,Surprise,2
P0033,P0033.JPG,2023-08-01 10:05:36,Japan,Sapporo,Nature,Family,People,Family,Trust,4
P0034,P0034.jpg,2023-08-01 11:29:28,Japan,Sapporo,Nature,Family,Self,Alone,Anticipation,2
P0035,P0035.JPG,2023-08-01 12:01:13,Japan,Sapporo,Nature,Family,Landscape,None,Surprise,3
P0036,P0036.jpg,2023-08-01 14:10:13,Japan,Sapporo,Nature,Family,Landscape,None,Joy,2
P0037,P0037.JPG,2023-08-01 19:33:04,Japan,Sapporo,Street,Family,People,Family,Trust,3
P0038,P0038.JPG,2023-08-02 1:13:53,Japan,Sapporo,Street,Family,People,Family,Anger,-1
P0039,P0039.JPG,2023-08-02 2:45:38,Japan,Sapporo,Street,Family,Architecture,None,Anger,-1
P0040,P0040.JPG,2023-08-02 3:43:06,Japan,Sapporo,Home,Family,People,Family,Joy,3
P0041,P0041.JPG,2023-08-02 19:37:33,Japan,Sapporo,Food,Family,Food,None,Anticipation,4
P0042,P0042.jpg,2023-08-03 13:51:33,Japan,Sapporo,Culture,Family,Self,Alone,Joy,2
P0043,P0043.JPG,2023-08-03 16:47:32,Japan,Sapporo,Nature,Family,Landscape,None,Surprise,4
P0044,P0044.JPG,2023-08-03 16:50:15,Japan,Sapporo,Nature,Family,People,Family,Fear,-1
P0045,P0045.JPG,2023-08-08 15:51:49,Korea,Daegu,Food,Friend,Food,Friend,Joy,2
P0046,P0046.JPG,2023-08-11 22:13:29,Korea,Daegu,Culture,Friend,Object,Friend,Trust,4
P0047,P0047.jpg,2023-08-11 22:18:55,Korea,Daegu,Street,Friend,People,Friend,Trust,5
P0048,P0048.JPG,2023-08-11 22:22:32,Korea,Daegu,Culture,Friend,People,Friend,Joy,1
P0049,P0049.JPG,2023-08-13 20:28:31,Korea,Daegu,Food,Friend,Self,Alone,Fear,-2
P0050,P0050.JPG,2023-08-14 20:46:29,Korea,Daegu,Culture,Friend,Object,None,Joy,4
P0051,P0051.jpg,2023-08-16 19:35:03,Korea,Daegu,Culture,Friend,People,Friend,Joy,5
P0052,P0052.JPG,2023-08-19 20:08:53,US,New York,Street,Friend,Architecture,None,Fear,2
P0053,P0053.JPG,2023-08-19 20:46:46,US,New York,Street,Friend,Architecture,Crowd,Surprise,4
P0054,P0054.JPG,2023-08-18 23:16:15,US,New York,Transit,Alone,Landscape,None,Disgust,-3
P0055,P0055.jpg,2023-08-20 16:10:13,US,New York,Street,Friend,People,Friend,Anticipation,1
P0056,P0056.JPG,2023-08-20 19:35:15,US,New York,Home,Friend,Object,None,Trust,2
P0057,P0057.JPG,2023-08-22 15:08:12,US,New York,Street,Friend,Text,None,Surprise,3
P0058,P0058.JPG,2023-08-22 15:15:36,US,New York,Shopping,Friend,Self,Alone,Joy,4
P0059,P0059.JPG,2023-08-22 15:29:29,US,New York,Street,Friend,Object,Friend,Joy,4
P0060,P0060.JPG,2023-08-22 16:18:06,US,New York,Food,Friend,People,Friend,Anticipation,2
P0061,P0061.JPG,2023-08-23 10:44:34,US,New York,Home,Friend,People,Friend,Trust,1
P0062,P0062.jpg,2023-08-23 12:03:24,US,New York,Home,Friend,Text,None,Trust,3
P0063,P0063.JPG,2023-08-24 15:43:41,US,New York,School,Acquaintances,Text,Crowd,Fear,-2
